ID_DER,Type,Efficiency,Max_capaci,Min_capaci,Max_charge,Max_discha,Battery_co,Max_import,Max_export,CO2_price,Radius_WT,Power_coef,Status_EV,Geo_potent,Horizon,Lost_energ,N_EVs,POINT_X,POINT_Y
1,Grid,0.000000000000000,0,0,0,0,0.000000000000000,50000000,50000000,0.500000000000000,0,0.000000000000000,0,0.710000000000000,672,0.000000000000000,0,500605.593801999988500,6783097.415129999630153
2,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
3,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
4,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
5,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
6,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
7,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
8,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
9,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
10,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
11,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
12,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
13,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
14,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
15,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
16,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
17,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
18,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
2,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
3,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
4,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
5,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
6,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
7,Battery,0.900000000000000,500,0,38,38,0.200000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,499160.313000999973156,6782869.024369999766350
8,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
9,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
10,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
11,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
12,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
13,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
14,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
15,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
16,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
17,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
18,Battery,0.900000000000000,700,0,50,50,0.500000000000000,0,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,0.000000000000000,0,500613.552810000022873,6783327.546579999849200
19,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,499878.764135000004899,6783505.386570000089705
20,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,499918.173592999984976,6783531.659549999982119
21,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,499960.867173000006005,6783562.530290000140667
22,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,500001.590280000003986,6783594.057850000448525
23,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,500043.627035000012256,6783622.958119999617338
24,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,500091.575208999973256,6783657.769810000434518
25,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,499878.764135000004899,6783505.386570000089705
26,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,499918.173592999984976,6783531.659549999982119
27,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,499960.867173000006005,6783562.530290000140667
28,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,500001.590280000003986,6783594.057850000448525
29,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,500043.627035000012256,6783622.958119999617338
30,Windturbine,0.000000000000000,0,0,0,0,0.000000000000000,0,0,0.000000000000000,9,0.450000000000000,0,0.000000000000000,0,0.000000000000000,0,500091.575208999973256,6783657.769810000434518
