datumtijd,Inkoop prijs per kWh
2022-01-01 00:00:00,0.1247
2022-01-01 01:00:00,0.1247
2022-01-01 02:00:00,0.1340
2022-01-01 03:00:00,0.0588
2022-01-01 04:00:00,0.0377
2022-01-01 05:00:00,0.0397
2022-01-01 06:00:00,0.0406
2022-01-01 07:00:00,0.0432
2022-01-01 08:00:00,0.0497
2022-01-01 09:00:00,0.0701
2022-01-01 10:00:00,0.0768
2022-01-01 11:00:00,0.0841
2022-01-01 12:00:00,0.0947
2022-01-01 13:00:00,0.0968
2022-01-01 14:00:00,0.0972
2022-01-01 15:00:00,0.1012
2022-01-01 16:00:00,0.1266
2022-01-01 17:00:00,0.1500
2022-01-01 18:00:00,0.1464
2022-01-01 19:00:00,0.1402
2022-01-01 20:00:00,0.1219
2022-01-01 21:00:00,0.1026
2022-01-01 22:00:00,0.0974
2022-01-01 23:00:00,0.0851
2022-01-02 00:00:00,0.0571
2022-01-02 01:00:00,0.0526
2022-01-02 02:00:00,0.0490
2022-01-02 03:00:00,0.0350
2022-01-02 04:00:00,0.0296
2022-01-02 05:00:00,0.0340
2022-01-02 06:00:00,0.0345
2022-01-02 07:00:00,0.0418
2022-01-02 08:00:00,0.0489
2022-01-02 09:00:00,0.0600
2022-01-02 10:00:00,0.0701
2022-01-02 11:00:00,0.0663
2022-01-02 12:00:00,0.0645
2022-01-02 13:00:00,0.0469
2022-01-02 14:00:00,0.0491
2022-01-02 15:00:00,0.0750
2022-01-02 16:00:00,0.0850
2022-01-02 17:00:00,0.1000
2022-01-02 18:00:00,0.1099
2022-01-02 19:00:00,0.0999
2022-01-02 20:00:00,0.0770
2022-01-02 21:00:00,0.0462
2022-01-02 22:00:00,0.0463
2022-01-02 23:00:00,0.0329
2022-01-03 00:00:00,0.0003
2022-01-03 01:00:00,0.0000
2022-01-03 02:00:00,-0.0001
2022-01-03 03:00:00,-0.0013
2022-01-03 04:00:00,-0.0012
2022-01-03 05:00:00,0.0000
2022-01-03 06:00:00,0.0360
2022-01-03 07:00:00,0.0903
2022-01-03 08:00:00,0.1200
2022-01-03 09:00:00,0.1299
2022-01-03 10:00:00,0.1190
2022-01-03 11:00:00,0.1192
2022-01-03 12:00:00,0.1200
2022-01-03 13:00:00,0.1226
2022-01-03 14:00:00,0.1382
2022-01-03 15:00:00,0.1431
2022-01-03 16:00:00,0.1360
2022-01-03 17:00:00,0.1485
2022-01-03 18:00:00,0.2140
2022-01-03 19:00:00,0.1920
2022-01-03 20:00:00,0.1498
2022-01-03 21:00:00,0.1442
2022-01-03 22:00:00,0.1300
2022-01-03 23:00:00,0.1100
2022-01-04 00:00:00,0.1949
2022-01-04 01:00:00,0.1373
2022-01-04 02:00:00,0.1372
2022-01-04 03:00:00,0.1193
2022-01-04 04:00:00,0.1171
2022-01-04 05:00:00,0.1199
2022-01-04 06:00:00,0.1569
2022-01-04 07:00:00,0.1826
2022-01-04 08:00:00,0.1789
2022-01-04 09:00:00,0.1900
2022-01-04 10:00:00,0.1899
2022-01-04 11:00:00,0.1824
2022-01-04 12:00:00,0.1825
2022-01-04 13:00:00,0.1796
